TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,TP_ALTITUDE,TP_TEMP,TP_VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,"MAG_P,",MAG_Y,POINTING_ERROR,TP_SOFTWARE_STATE
1076,00:00:00,40,67,100,10,5,0,408.62,27.07,0,1:41,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:01,42,67,101,10,5,0,408.31,27.07,0,1:43,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:02,44,67,102,10,5,0,408.28,27.05,0,1:45,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:03,46,67,103,10,5,0,408.22,27.04,0,1:47,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:04,48,67,104,10,5,0,408.41,27.04,0,1:49,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:05,50,67,105,10,5,0,408.4,27.02,0,1:51,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:06,52,67,106,10,5,0,408.55,27,0,1:53,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:07,54,67,107,10,5,0,408.63,26.97,0,1:55,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:08,56,67,108,10,5,0,408.62,26.95,0,1:57,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:09,58,67,109,10,5,0,408.73,26.93,0,1:59,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:10,60,67,110,10,5,0,408.54,26.93,0,1:61,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:11,62,67,111,10,5,0,408.6,26.93,0,1:63,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:12,64,67,112,10,5,0,408.62,26.92,0,1:65,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:13,66,67,113,10,5,0,408.19,26.91,0,1:67,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:14,68,67,114,10,5,0,408.31,26.9,0,1:69,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:15,70,67,115,10,5,0,408.32,26.89,0,1:71,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:16,72,67,116,10,5,0,408.34,26.88,0,1:73,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:17,74,67,117,10,5,0,408.51,26.89,0,1:75,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:18,76,67,118,10,5,0,408.41,26.88,0,1:77,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:19,78,67,119,10,5,0,408.41,26.9,0,1:79,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:20,80,67,120,10,5,0,408.41,26.9,0,1:81,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
